progress,duration_in_seconds_,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age:,Gender:,Occupation:,Income level ( If applicable ),How familiar are you with digital marketing campaigns-,"Have you interacted with gamified marketing campaigns (e.g., reward points, leaderboards, challenges) before?",Which gamification features appeal to you the most? (Select all that apply),What motivates you to participate in gamified campaigns? (Select all that apply),How often do you engage with gamified marketing campaigns?,What type of reward system do you prefer in gamified campaigns?,How likely are you to make a purchase after participating in a gamified campaign?,Which platform do you prefer for gamified campaigns?,How do gamified campaigns influence your perception of a brand?,How important is personalization in gamified campaigns for you?,How long are you willing to spend on a gamified activity?,Do you prefer gamified campaigns tailored for your age group?,Which of the following appeals to you in a gamified campaign?,Do you think gamified campaigns should be based on local culture or global trends?,What would make a gamified campaign more engaging for you?,Any additional comments or suggestions regarding gamification in digital marketing?
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID20_TEXT""}"
100,63,1,2024-11-30 15:39:16,R_7gjXmc0u0LMEOG9,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,34.0544,-118.244,preview,EN,2,2,1,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,…..,No
100,23,1,2024-11-30 15:56:01,R_1pm8Upb2GBYSKON,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.2507,-121.836,preview,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,21,1,2024-11-30 16:42:26,R_6N6KnGUFBAIxptL,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,169,1,2024-11-30 16:48:26,R_1HZVs4zX24VYRO7,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,42.4649,-90.6829,anonymous,EN,2,1,1,1,3,3,1,2,3,1,4,1,4,3,3,3,2,3,'----',No
100,37,1,2024-12-05 00:22:14,R_3Kd8r3ml0u54Jot,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,'----',No
100,158,1,2024-12-05 00:24:47,R_4Qiot7zDzskjdNn,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,2,1,2,3,1,2,2,1,4,1,4,4,2,3,2,3,'----',No
100,145,1,2024-12-05 00:42:21,R_4q8uGrG1UWA2JX3,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,19.0748,72.8856,anonymous,EN,2,1,1,2,2,3,1,2,2,1,3,1,2,1,1,2,1,3,'----',No
100,163,1,2024-12-05 00:59:00,R_6M0e78IlIpBK3sY,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,3,3,3,1,2,3,5,2,3,4,3,3,3,3,More interesting challenges and valuable information to attract information. ,No
100,824,1,2024-12-05 01:31:40,R_7i23Z0KJChmde2f,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,4,3,3,2,2,3,2,1,3,3,2,4,3,2,3,By keeping known celebrities as campaigners ,NO COMMENTS
100,76,1,2024-12-05 01:43:15,R_7pmNOS2ZaGNit4N,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,2,1,1,3,3,1,2,1,1,5,2,3,4,1,3,1,1,'----',No
100,140,1,2024-12-05 07:49:53,R_5RvWvrruuB1rGUG,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6609,-122.0491,anonymous,EN,2,2,1,1,1,2,1,2,1,1,4,1,3,3,2,3,2,2,'----',No
100,214,1,2024-12-05 11:39:01,R_3Jd1SmUSK5DAcG5,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,2,1,1,2,1,4,2,4,3,2,2,2,3,Instant rewards ,No
100,11168,1,2024-12-05 15:34:48,R_1THnRY3XJkbU4gV,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,41.8764,-87.6133,anonymous,EN,2,1,1,1,1,2,2,3,1,1,3,2,3,4,3,3,1,2,'----',No
100,62,1,2024-12-05 15:47:12,R_7l7Q3GsPKy4oNax,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.9681,-122.5119,anonymous,EN,3,1,2,3,3,3,1,2,2,2,2,2,2,3,3,1,2,3,'----',No
100,73,1,2024-12-05 15:47:22,R_371i9pUfIU8I5Zn,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.374,-121.8595,anonymous,EN,2,1,1,1,2,2,3,2,4,3,2,1,3,5,1,1,2,3,'----',No
100,114,1,2024-12-05 15:51:06,R_1q1woFEVUPfV3tf,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6736,-122.0944,anonymous,EN,2,2,1,1,2,3,1,2,1,2,5,2,3,3,3,2,1,3,'----',No
100,81,1,2024-12-05 15:55:44,R_7YCb0zcGxAsIWLD,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.2507,-121.836,anonymous,EN,2,1,1,1,2,2,1,3,2,1,2,2,4,3,2,2,1,2,'----',No
100,196,1,2024-12-05 17:52:43,R_4dQKiZEpp85WdpN,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,2,1,3,3,1,2,3,1,3,3,3,4,3,3,2,2,'----',No
100,96,1,2024-12-05 19:21:22,R_7p3skXVWeBUjSgh,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,32.7797,-96.8022,anonymous,EN,2,1,1,1,2,2,3,1,3,1,2,2,3,1,2,2,2,3,Games,No
100,193,1,2024-12-06 05:56:29,R_49igWeany9SucaG,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,2,1,2,1,1,2,1,3,1,1,1,5,1,1,1,3,'----',No
100,78,1,2024-12-06 13:02:01,R_6dIUrNyFcYy6KEV,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,3,2,2,2,3,3,2,4,2,3,2,2,1,Music ,No
100,507637,1,2024-12-06 13:46:36,R_7OPykEw6TfEAO7H,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,34.0544,-118.244,anonymous,EN,2,2,1,1,2,2,1,2,1,1,2,2,4,2,2,3,2,3,Interesting brand related games,..
100,141,1,2024-12-06 14:42:33,R_1uVaQKPS9PVc0oS,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,41.8486,-87.6288,anonymous,EN,2,1,1,1,2,2,1,3,2,1,2,2,3,4,3,2,2,2,'----',No
100,149,1,2024-12-06 16:58:12,R_6MlAKH1tuhQSw6J,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,29.4213,-98.5313,anonymous,EN,2,1,1,4,3,3,4,1,3,1,1,1,2,2,4,3,1,1,"Nothing, just searching for job","Nothing, just play VR games "
100,137,1,2024-12-06 18:57:41,R_4PGEcKolrlMEYmo,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,1,2,2,2,1,1,2,2,2,1,2,1,3,3,2,2,'----',No
100,137,1,2024-12-06 20:47:27,R_4HB7Qe4kbDbUI3T,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,1,1,3,3,1,2,3,1,3,1,1,3,1,1,'----',No
100,166,1,2024-12-06 21:24:11,R_4fqeAHzT83yPqiB,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,3,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,'----',No
100,294,1,2024-12-07 00:05:03,R_7itEPjGAaAszHzv,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,2,1,2,1,3,2,1,4,2,2,3,2,3,'----',No
100,217,1,2024-12-07 01:29:57,R_7KUV0jVfUS64UZu,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,43.7063,-79.4202,anonymous,EN,3,1,1,1,3,3,1,2,2,3,3,1,3,3,1,3,2,3,'----',Effort and reward should be equal.
100,161,1,2024-12-07 01:37:39,R_5rrbuGjkFDVmKHM,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,3,4,1,2,2,2,2,2,2,2,3,3,3,2,2,1,N.A,No comments 
100,211,1,2024-12-07 01:37:55,R_5EQrPtckU0Celeb,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,3,1,2,1,1,3,1,2,2,1,5,1,3,2,2,3,1,1,'----',No
100,312,1,2024-12-07 01:43:53,R_6f1AhHAe7X8BUJj,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.3209,-121.9126,anonymous,EN,2,1,2,3,2,2,1,2,1,2,4,3,3,1,2,2,1,3,"Short form content is typically entertaining, but many of these gamification models are built ugly so maybe something that looks fun as well ","Knowing the reward before partaking in any of these modes would be better, some are randomised rewards sometimes feel like a waste of time. "
100,2236,1,2024-12-07 02:06:27,R_4PRHjg7M6MvQC2q,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,2,1,1,1,3,2,1,3,1,1,3,2,1,2,2,1,'----',No
100,121,1,2024-12-07 04:00:00,R_8ESDX9gfLasLqer,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,51.5064,-0.02,anonymous,EN,2,1,1,1,3,3,1,2,3,3,3,3,4,3,2,3,2,3,'----',No
100,227,1,2024-12-07 05:40:09,R_4bZOmwSdYV024FY,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,22.3008,73.2043,anonymous,EN,5,1,2,1,2,3,1,2,2,3,4,1,4,3,2,2,2,3,Instant reward and discount ,No
100,111,1,2024-12-07 05:41:31,R_4zqBk2jaMjTdGdr,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,4,1,1,2,3,1,1,1,2,1,3,4,3,3,1,1,'----',No
100,180,1,2024-12-07 05:48:07,R_4dj3LzV6mPawHWH,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,12.8996,80.2209,anonymous,EN,6,1,5,1,2,2,1,2,1,1,3,1,2,2,2,1,1,3,Great efforts ,No
100,173,1,2024-12-07 05:58:02,R_49c57U4POp6K5o8,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,2,2,2,3,1,2,2,1,2,4,2,4,2,1,2,2,3,Practical,No
100,244,1,2024-12-07 05:59:50,R_4dvosK4FJQXeZWa,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,1,2,1,3,2,1,3,2,1,4,2,4,3,2,2,1,3,"Tailor experiences based on the participant's preferences or past behavior. Use themes, challenges, and rewards that resonate personally with the audience. and interactive challenges",no
100,158,1,2024-12-07 06:03:41,R_4wdCmpF8jm8ujTH,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,1,2,1,3,3,3,2,2,3,4,1,3,3,2,3,2,3,'----',No
100,168,1,2024-12-07 06:11:39,R_4jV1OpZYEwnqRWh,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,2,4,2,1,3,1,1,1,3,1,4,3,3,3,2,3,'----',No
100,262,1,2024-12-07 06:13:09,R_4TXgRWTGI29HZ0G,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,28.652,77.1663,anonymous,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,792,1,2024-12-07 06:17:18,R_4EJUWwBXiDCEVuF,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,323,1,2024-12-07 06:18:36,R_4yWzikS0gsxVQkx,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,28.652,77.1663,anonymous,EN,5,2,4,1,3,2,2,2,2,3,4,2,3,2,2,2,2,3,'----',No
100,114,1,2024-12-07 06:18:48,R_4cEFy9DajwiwoGB,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,1,2,1,2,2,2,2,2,2,2,2,3,2,3,2,2,3,'----',No
100,183,1,2024-12-07 06:20:28,R_4cBdp86SYu8pP1B,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,3,3,3,2,3,1,1,3,1,3,3,1,1,3,2,3,'----',No
100,195,1,2024-12-07 06:23:24,R_4Dv9soTW4IdxeKo,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,5.9558,116.0368,anonymous,EN,5,2,4,1,2,1,1,2,1,1,1,2,3,1,1,1,2,1,'----',No
100,258,1,2024-12-07 06:24:49,R_47vXLMZvQVzsJVL,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,28.6542,77.2373,anonymous,EN,6,1,2,3,2,1,1,1,1,1,1,1,2,1,2,1,1,3,Can not say,Keep going 
100,1840,1,2024-12-07 06:29:33,R_4hEc5bH85waIdum,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,22.518,88.3832,anonymous,EN,5,1,2,1,2,1,1,2,1,3,1,1,1,1,2,1,1,3,'----',No
100,61,1,2024-12-07 06:37:59,R_4eSePiplQOgifrr,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,1,1,3,1,1,1,3,2,1,1,2,1,3,2,Nothing,No
100,54,1,2024-12-07 06:42:49,R_4gqLfGdCXexnxpZ,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1,'----',No
100,70,1,2024-12-07 06:43:06,R_4gMgxaZy7PNxNzK,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,2,2,1,2,1,3,2,1,1,5,2,2,2,1,'----',No
100,168,1,2024-12-07 06:45:11,R_4JKLZtctO7WhTB4,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,1,1,1,4,3,3,4,2,4,2,5,3,3,5,4,3,3,3,Yes,Yes
100,265,1,2024-12-07 06:46:34,R_4GvrZjqxOnE0HpT,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,'----',No
100,376,1,2024-12-07 06:51:49,R_4e4lekeFbT3sfWT,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.9958,79.5782,anonymous,EN,6,1,3,2,1,2,1,2,1,3,4,1,3,3,2,2,2,1,Gifts,No
100,84,1,2024-12-07 06:54:40,R_4X5vEKOrU4FGIDL,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,Happy and Inspire,Keep Going
100,1682,1,2024-12-07 07:06:23,R_4nY3L8fPQJRHEJP,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,3,3,2,2,1,3,2,3,4,1,3,3,3,2,1,2,'----',No
100,205,1,2024-12-07 07:09:43,R_4HeQf56WBBIpm45,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,2,2,2,3,3,3,5,1,5,5,4,2,1,3,'----',No
100,75,1,2024-12-07 07:10:42,R_4hoQnb7WVjoL7IE,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,14.6802,77.625,anonymous,EN,3,1,2,1,2,2,1,2,4,1,1,1,1,1,1,3,1,3,'----',No
100,597,1,2024-12-07 07:20:02,R_4dXtq021Ln2yrUm,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,3,1,1,2,1,2,3,1,5,1,4,2,3,2,2,3,Interesting ,No idea
100,66,1,2024-12-07 07:52:21,R_707BRkj5u0g4Qjn,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,41.8486,-87.6288,anonymous,EN,2,2,1,1,2,1,1,2,1,3,4,1,4,3,2,2,1,3,'----',No
100,99,1,2024-12-07 08:15:02,R_4kMaz5eOkzfdqFj,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,3,4,2,2,2,3,2,2,4,1,3,3,1,2,1,3,'----',No
100,6627,1,2024-12-07 08:24:39,R_4RONUbE0k0bfuua,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,2,1,2,1,1,1,1,1,2,2,3,2,2,1,1,3,'----',No
100,115,1,2024-12-07 08:31:36,R_5VkFB6NGUKOufyT,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,35.4155,-80.6143,anonymous,EN,4,1,2,4,2,3,1,2,3,3,4,1,4,4,4,3,1,2,Interactive ,No
100,98,1,2024-12-07 08:38:50,R_5HhvXnJWMaWk5vb,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.3372,-121.798,anonymous,EN,3,2,1,1,2,2,1,1,1,3,2,1,3,3,2,2,1,3,'----',No
100,163,1,2024-12-07 08:56:15,R_6CBdr6db9JA04Rz,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,32.926,-96.9666,anonymous,EN,5,1,2,4,1,2,2,1,1,3,4,1,4,4,3,3,2,2,"Personalized , simple and entertaining ",No
100,337,1,2024-12-07 08:57:45,R_4vrMiQfBpzvEBRn,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,5,4,3,3,3,3,2,2,4,3,3,3,3,2,1,3,'----','---'zx
100,111,1,2024-12-07 09:58:03,R_7dh05e5dqd9zz6K,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,25.7259,-80.4036,anonymous,EN,3,2,2,3,2,2,1,2,2,3,4,1,3,2,2,2,2,3,'----',No
100,151,1,2024-12-07 10:04:43,R_4KGtWtPKDfZO1wh,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,Nice,Good 
100,155,1,2024-12-07 10:15:15,R_4BhXS7CtoZ1PyVu,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,7.3089,80.5934,anonymous,EN,5,1,3,4,3,2,1,1,1,3,3,1,3,3,2,3,3,3,Not sure what it is to commenty,No
100,185,1,2024-12-07 10:24:45,R_4KHI5OVXq8pNmvs,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,7.4918,80.3628,anonymous,EN,2,2,1,1,2,3,2,3,2,3,4,1,4,3,3,3,1,3,'----',No
100,154,1,2024-12-07 10:51:49,R_4IXjOHWvuv3fJvx,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,7.4918,80.3628,anonymous,EN,5,2,2,4,2,2,1,2,2,3,5,1,4,4,2,2,2,3,'----',No
100,47338,1,2024-12-07 10:58:06,R_4UXwp6eYH2Xddt4,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,2,4,1,2,3,3,1,2,3,3,2,4,3,2,3,2,3,Events,No
100,132,1,2024-12-07 13:19:34,R_5rI1qgeKOFQ2BjL,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,1,2,2,1,1,2,1,4,2,3,3,2,3,2,1,Rewards,Nothing
100,131,1,2024-12-07 16:28:55,R_5tFLUqlmz5vyYnf,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,2,1,1,2,3,2,1,2,1,4,1,3,3,4,3,2,3,'----',No
100,110,1,2024-12-07 16:31:30,R_7N4mxgypB9E4FwJ,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.6403,-122.0667,anonymous,EN,2,1,1,2,2,2,2,1,2,3,4,2,3,3,4,3,2,3,'----',No
100,158,1,2024-12-07 17:08:05,R_7yrTMtqTsNOxLKV,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,38.6353,-121.4558,anonymous,EN,2,2,1,1,2,2,1,1,1,1,3,1,4,2,2,2,2,3,'----',No
100,46664,1,2024-12-07 18:33:49,R_4IpcIEMi3RqfSti,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,4,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
100,240,1,2024-12-07 18:37:53,R_4qerDwgkAyqET5L,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,5,2,4,1,2,1,1,1,1,3,3,2,3,3,3,2,1,2,'----',No
100,94,1,2024-12-07 19:38:40,R_4ua4ZDvPJrnqVnr,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,3,2,2,2,3,1,2,3,3,2,3,3,4,2,1,2,'----',No
100,355,1,2024-12-07 20:17:40,R_4BnZVPZ64uG1bcX,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,3,4,2,2,1,1,1,1,4,1,3,4,3,3,2,2,Good,It’s good will be no 1 company soon
100,163,1,2024-12-07 21:07:13,R_4ykzxxcG1rsEaJz,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,2,4,3,1,1,1,1,1,1,4,1,1,1,1,1,2,3,Not interested,No
100,202,1,2024-12-07 21:11:03,R_7S3lxHcIioNVX0o,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,47.2476,-122.4643,anonymous,EN,5,1,2,4,3,3,1,2,3,1,3,1,3,3,2,2,2,1,'----',No
100,291,1,2024-12-07 21:27:55,R_4B99YSc6EOXjo3c,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,6,1,6,1,2,2,4,1,1,2,4,2,3,2,3,1,1,1,Okay,No
100,213,1,2024-12-07 21:32:14,R_4nNrebIwK5vfeey,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,4,2,2,1,2,1,1,4,3,3,1,1,1,2,3,'----',No
100,169,1,2024-12-08 04:22:47,R_4nIQ458AkNog7kG,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,21.9974,79.0011,anonymous,EN,5,2,2,2,2,2,1,2,2,1,2,2,3,3,2,2,2,3,Instant reward ,No pressure 
100,441,1,2024-12-08 18:31:52,R_4XmyaI9iKzeSOjq,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,17.3724,78.4378,anonymous,EN,3,1,2,1,2,2,3,2,1,3,4,2,3,2,3,2,1,3,Best ui with all new challenges ,No
100,174,1,2024-12-08 20:14:51,R_5YWqB1iRWrKdp8B,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,47.2476,-122.4643,anonymous,EN,3,1,2,3,1,1,1,2,1,3,4,2,3,3,2,2,1,3,I dont even know what gamified campaign is in first place.,Give us definitions on each term first and then make the survey in easy terms to collect almost accurate data
100,327327,1,2024-12-09 10:42:27,R_13B9z0RyqI1opjz,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,37.7688,-122.262,anonymous,EN,2,1,2,1,2,2,1,2,1,1,4,1,3,3,2,2,2,3,'----',No
